From Date,To Date,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Eth-Benzene,MP-Xylene,O-Xylene,Temp,RH,WS,WD,SR,BP
06-01-2024 04:00,06-01-2024 08:00,69.91,104.83,3.13,19.8,12.85,11.48,8.27,1,8.02,6.88,9.56,1.35,3.51,1.45,19.51,91.09,0.94,232.06,9.28,None
06-01-2024 08:00,06-01-2024 12:00,82.6,119.86,3.63,22.68,14.76,11.09,38.56,0.94,26.56,7.55,7.61,1.25,3.64,1.44,21.93,80.88,0.75,88.32,98.43,None
06-01-2024 12:00,06-01-2024 16:00,61.11,85.33,1.52,12.62,7.7,12.26,23.41,0.67,35.17,4.55,4.12,0.74,1.74,0.83,23.97,72.55,1.36,98.55,112.76,None
06-01-2024 16:00,06-01-2024 20:00,89.9,125.33,7.55,28.05,28.19,18.7,25.75,1.46,19.81,8.45,17.28,3.67,8.89,4.11,22.49,77.95,0.87,163.21,19.1,None
06-01-2024 20:00,07-01-2024 00:00,134.87,201.03,9.09,27.76,29.27,18.93,18.54,2.09,2.65,16.14,34.38,9.81,23.51,12.37,19.89,86.8,0.99,225.72,0.15,None
07-01-2024 00:00,07-01-2024 04:00,84.96,127.56,8.63,25.94,27.95,18.98,6.82,0.85,14.03,6.09,5.35,0.87,2.5,0.95,18.71,89.57,0.46,137.1,0.1,None
07-01-2024 04:00,07-01-2024 08:00,85.96,112.46,8.57,24.71,27.26,18.79,5.17,0.77,17.13,6.41,4.36,0.5,1.2,0.44,17.96,92.67,1.08,107.74,6.47,None
07-01-2024 08:00,07-01-2024 12:00,90.19,120.66,9.66,16.59,23.9,18.69,21.39,0.91,46.65,7.88,5.52,0.9,1.93,0.93,21.56,78.01,1.24,103.81,133.53,None
07-01-2024 12:00,07-01-2024 16:00,71.34,118.11,11.69,2.34,17.38,18.03,34.71,0.81,91.06,5.64,5.33,0.97,1.79,0.91,26.03,63.98,0.9,121.62,117.26,None
07-01-2024 16:00,07-01-2024 20:00,72.08,145.04,10.26,33.46,26.78,17.67,23.13,1.27,44.86,8.2,14.4,3.9,9.45,4.44,23.61,73.39,1.08,153.76,12.32,None
